sat_name,month,total_meters,expected_blocks,block_72_hrs,percentage_72_hrs,block_168_hrs,percentage_168_hrs
SAT 3,2/1/2026,100000,100000,97034,97.03,97596,97.6
SAT 3,11/1/2025,100000,100000,97783,97.78,98035,98.04
SAT 3,12/1/2025,100000,100000,97260,97.26,97397,97.4
SAT 3,8/1/2025,100000,100000,98279,98.28,98487,98.49
SAT 3,1/1/2026,100000,100000,97605,97.61,97760,97.76
SAT 3,9/1/2025,100000,100000,96574,96.57,97259,97.26
SAT 3,10/1/2025,100000,100000,97472,97.47,97819,97.82
SAT 3,6/1/2025,100000,100000,97779,97.78,98948,98.95
SAT 3,5/1/2025,100000,100000,99270,99.27,99332,99.33
SAT 3,7/1/2025,100000,100000,98762,98.76,98762,98.76
SAT 3,4/1/2025,100000,100000,99556,99.56,99582,99.58
SAT 10,2/1/2026,165000,165000,148440,89.96,151647,91.91
SAT 4,2/1/2026,100000,100000,98161,98.16,98309,98.31
SAT 4,11/1/2025,100000,100000,98042,98.04,98377,98.38
SAT 4,12/1/2025,100000,100000,98066,98.07,98238,98.24
SAT 4,8/1/2025,100000,100000,98594,98.59,98814,98.81
SAT 4,1/1/2026,100000,100000,98219,98.22,98348,98.35
SAT 4,9/1/2025,100000,100000,97949,97.95,98308,98.31
SAT 4,6/1/2025,100000,100000,92986,92.99,99111,99.11
SAT 4,10/1/2025,100000,100000,98061,98.06,98319,98.32
SAT 4,5/1/2025,100000,100000,99526,99.53,99654,99.65
SAT 4,7/1/2025,100000,100000,98970,98.97,98970,98.97
SAT 8,2/1/2026,140000,140000,136888,97.78,137325,98.09
SAT 8,1/1/2026,140000,140000,138932,99.24,139234,99.45
SAT 8,12/1/2025,140000,140000,139671,99.77,139969,99.98
SAT 9,2/1/2026,150000,150000,141461,94.31,142756,95.17
SAT 2,2/1/2026,100000,100000,97554,97.55,97836,97.84
SAT 2,11/1/2025,100000,100000,97949,97.95,98301,98.3
SAT 2,8/1/2025,100000,100000,98385,98.39,98615,98.62
SAT 2,1/1/2026,100000,100000,97845,97.85,97956,97.96
SAT 2,9/1/2025,100000,100000,97294,97.29,97868,97.87
SAT 2,12/1/2025,100000,100000,97519,97.52,97669,97.67
SAT 2,6/1/2025,100000,100000,98769,98.77,99098,99.1
SAT 2,10/1/2025,100000,100000,97311,97.31,97692,97.69
SAT 2,5/1/2025,100000,100000,99260,99.26,99350,99.35
SAT 2,7/1/2025,100000,100000,98923,98.92,98923,98.92
SAT 2,4/1/2025,100000,100000,99493,99.49,99522,99.52
SAT 1,2/1/2026,25000,25000,24049,96.2,24066,96.26
SAT 1,11/1/2025,25000,25000,24117,96.47,24137,96.55
SAT 1,12/1/2025,25000,25000,24080,96.32,24094,96.38
SAT 1,8/1/2025,25000,25000,24409,97.64,24431,97.72
SAT 1,1/1/2026,25000,25000,24079,96.32,24094,96.38
SAT 1,9/1/2025,25000,25000,24212,96.85,24263,97.05
SAT 1,6/1/2025,25000,25000,24491,97.96,24533,98.13
SAT 1,10/1/2025,25000,25000,24161,96.64,24191,96.76
SAT 1,5/1/2025,25000,25000,23167,92.67,23182,92.73
SAT 1,7/1/2025,25000,25000,24533,98.13,24533,98.13
SAT 1,3/1/2025,25000,25000,20728,82.91,20731,82.92
SAT 1,2/18/2025,25000,25000,23181,92.72,23181,92.72
SAT 1,4/1/2025,25000,25000,23204,92.82,23210,92.84
SAT 1,2/7/2025,25000,25000,0,0,23168,92.67
SAT 1,2/4/2025,25000,25000,23164,92.66,0,0
SAT 6,2/1/2026,100000,100000,97353,97.35,98190,98.19
SAT 6,11/1/2025,100000,100000,98885,98.89,99054,99.05
SAT 6,12/1/2025,100000,100000,98605,98.61,98743,98.74
SAT 6,8/1/2025,100000,100000,97799,97.8,97855,97.86
SAT 6,1/1/2026,100000,100000,98634,98.63,98751,98.75
SAT 6,9/1/2025,100000,100000,96481,96.48,97018,97.02
SAT 6,10/1/2025,100000,100000,98900,98.9,99192,99.19
SAT 7,2/1/2026,120000,120000,114863,95.72,116324,96.94
SAT 7,11/1/2025,120000,120000,117966,98.31,118410,98.68
SAT 7,1/1/2026,120000,120000,117289,97.74,117710,98.09
SAT 7,8/1/2025,120000,120000,114788,95.66,116206,96.84
SAT 7,12/1/2025,120000,120000,117216,97.68,117782,98.15
SAT 7,10/1/2025,120000,120000,117371,97.81,118433,98.69
SAT 7,9/1/2025,120000,120000,113272,94.39,114537,95.45
SAT 5,2/1/2026,100000,100000,97479,97.48,98164,98.16
SAT 5,11/1/2025,100000,100000,98556,98.56,98833,98.83
SAT 5,8/1/2025,100000,100000,99303,99.3,99470,99.47
SAT 5,1/1/2026,100000,100000,98493,98.49,98629,98.63
SAT 5,9/1/2025,100000,100000,97420,97.42,98207,98.21
SAT 5,12/1/2025,100000,100000,98422,98.42,98645,98.65
SAT 5,6/1/2025,100000,100000,90688,90.69,99945,99.95
SAT 5,10/1/2025,100000,100000,98372,98.37,98796,98.8
SAT 5,7/1/2025,100000,100000,98590,98.59,99521,99.52
